mtknr;stg;pversion;pnr;pform;dtxt;psem
166990;AB;161;4030;KL;Klausur;20192
167017;AB;161;4030;KL;Klausur;20192
167039;AB;161;4030;KL;Klausur;20192
167040;AB;161;4030;KL;Klausur;20192
167051;AB;161;4030;KL;Klausur;20192
167108;AB;161;4030;KL;Klausur;20192
167119;AB;161;4030;KL;Klausur;20192
167120;AB;161;4030;KL;Klausur;20192
167131;AB;161;4030;KL;Klausur;20192
167142;AB;161;4030;KL;Klausur;20192
167164;AB;161;4030;KL;Klausur;20192
167175;AB;161;4030;KL;Klausur;20192
167197;AB;161;4030;KL;Klausur;20192
167211;AB;161;4030;KL;Klausur;20192
167222;AB;161;4030;KL;Klausur;20192
167255;AB;161;4030;KL;Klausur;20192
167266;AB;161;4030;KL;Klausur;20192
167277;AB;161;4030;KL;Klausur;20192
167313;AB;161;4030;KL;Klausur;20192
167324;AB;161;4030;KL;Klausur;20192
167335;AB;161;4030;KL;Klausur;20192
167368;AB;161;4030;KL;Klausur;20192
167391;AB;161;4030;KL;Klausur;20192
167482;AB;161;4030;KL;Klausur;20192
167506;AB;161;4030;KL;Klausur;20192
167528;AB;161;4030;KL;Klausur;20192
167539;AB;161;4030;KL;Klausur;20192
167551;AB;161;4030;KL;Klausur;20192
167573;AB;161;4030;KL;Klausur;20192
168327;AB;161;4030;KL;Klausur;20192
168930;AB;161;4030;KL;Klausur;20192
163946;AB;161;4040;KL;Klausur;20192
164574;AB;161;4040;KL;Klausur;20192
164778;AB;161;4040;KL;Klausur;20192
165157;AB;161;4040;KL;Klausur;20192
165260;AB;161;4040;KL;Klausur;20192
166014;AB;161;4040;KL;Klausur;20192
166047;AB;161;4040;KL;Klausur;20192
166105;AB;161;4040;KL;Klausur;20192
166127;AB;161;4040;KL;Klausur;20192
166218;AB;161;4040;KL;Klausur;20192
166387;AB;161;4040;KL;Klausur;20192
166398;AB;161;4040;KL;Klausur;20192
166401;AB;161;4040;KL;Klausur;20192
166570;AB;161;4040;KL;Klausur;20192
166672;AB;161;4040;KL;Klausur;20192
166763;AB;161;4040;KL;Klausur;20192
166810;AB;161;4040;KL;Klausur;20192
166832;AB;161;4040;KL;Klausur;20192
166843;AB;161;4040;KL;Klausur;20192
166865;AB;161;4040;KL;Klausur;20192
166887;AB;161;4040;KL;Klausur;20192
166934;AB;161;4040;KL;Klausur;20192
166945;AB;161;4040;KL;Klausur;20192
166956;AB;161;4040;KL;Klausur;20192
166967;AB;161;4040;KL;Klausur;20192
166990;AB;161;4040;KL;Klausur;20192
167017;AB;161;4040;KL;Klausur;20192
167039;AB;161;4040;KL;Klausur;20192
167040;AB;161;4040;KL;Klausur;20192
167051;AB;161;4040;KL;Klausur;20192
167108;AB;161;4040;KL;Klausur;20192
167119;AB;161;4040;KL;Klausur;20192
167120;AB;161;4040;KL;Klausur;20192
167131;AB;161;4040;KL;Klausur;20192
167142;AB;161;4040;KL;Klausur;20192
167164;AB;161;4040;KL;Klausur;20192
167175;AB;161;4040;KL;Klausur;20192
167197;AB;161;4040;KL;Klausur;20192
167211;AB;161;4040;KL;Klausur;20192
167222;AB;161;4040;KL;Klausur;20192
167255;AB;161;4040;KL;Klausur;20192
167266;AB;161;4040;KL;Klausur;20192
167277;AB;161;4040;KL;Klausur;20192
167299;AB;161;4040;KL;Klausur;20192
167313;AB;161;4040;KL;Klausur;20192
167324;AB;161;4040;KL;Klausur;20192
167335;AB;161;4040;KL;Klausur;20192
167391;AB;161;4040;KL;Klausur;20192
167482;AB;161;4040;KL;Klausur;20192
167506;AB;161;4040;KL;Klausur;20192
167528;AB;161;4040;KL;Klausur;20192
167539;AB;161;4040;KL;Klausur;20192
167551;AB;161;4040;KL;Klausur;20192
167573;AB;161;4040;KL;Klausur;20192
168930;AB;161;4040;KL;Klausur;20192
162761;AB;141;4050;KL;Klausur;20192
165395;AB;161;4050;KL;Klausur;20192
165828;AB;161;4050;KL;Klausur;20192
166014;AB;161;4050;KL;Klausur;20192
166887;AB;161;4050;KL;Klausur;20192
166912;AB;161;4050;KL;Klausur;20192
167211;AB;161;4050;KL;Klausur;20192
167584;AB;161;4050;KL;Klausur;20192
167619;AB;161;4050;KL;Klausur;20192
167620;AB;161;4050;KL;Klausur;20192
167697;AB;161;4050;KL;Klausur;20192
167711;AB;161;4050;KL;Klausur;20192
167799;AB;161;4050;KL;Klausur;20192
167835;AB;161;4050;KL;Klausur;20192
167880;AB;161;4050;KL;Klausur;20192
167904;AB;161;4050;KL;Klausur;20192
167960;AB;161;4050;KL;Klausur;20192
167982;AB;161;4050;KL;Klausur;20192
168009;AB;161;4050;KL;Klausur;20192
168021;AB;161;4050;KL;Klausur;20192
168043;AB;161;4050;KL;Klausur;20192
168054;AB;161;4050;KL;Klausur;20192
168076;AB;161;4050;KL;Klausur;20192
168098;AB;161;4050;KL;Klausur;20192
168349;AB;161;4050;KL;Klausur;20192
168394;AB;161;4050;KL;Klausur;20192
168429;AB;161;4050;KL;Klausur;20192
168430;AB;161;4050;KL;Klausur;20192
168485;AB;161;4050;KL;Klausur;20192
168496;AB;161;4050;KL;Klausur;20192
168521;AB;161;4050;KL;Klausur;20192
168543;AB;161;4050;KL;Klausur;20192
168565;AB;161;4050;KL;Klausur;20192
168576;AB;161;4050;KL;Klausur;20192
168587;AB;161;4050;KL;Klausur;20192
168598;AB;161;4050;KL;Klausur;20192
168623;AB;161;4050;KL;Klausur;20192
168634;AB;161;4050;KL;Klausur;20192
168678;AB;161;4050;KL;Klausur;20192
168689;AB;161;4050;KL;Klausur;20192
168725;AB;161;4050;KL;Klausur;20192
168736;AB;161;4050;KL;Klausur;20192
168792;AB;161;4050;KL;Klausur;20192
168805;AB;161;4050;KL;Klausur;20192
168827;AB;161;4050;KL;Klausur;20192
168861;AB;161;4050;KL;Klausur;20192
168894;AB;161;4050;KL;Klausur;20192
168929;AB;161;4050;KL;Klausur;20192
168963;AB;161;4050;KL;Klausur;20192
169035;AB;161;4050;KL;Klausur;20192
169057;AB;161;4050;KL;Klausur;20192
169182;AB;161;4050;KL;Klausur;20192
1000003;AB;161;4050;KL;Klausur;20192
1000004;AB;161;4050;KL;Klausur;20192
1000005;AB;161;4050;KL;Klausur;20192
1000006;AB;161;4050;KL;Klausur;20192
162761;AB;141;5010;KL;Klausur;20192
164176;AB;161;5010;KL;Klausur;20192
164449;AB;161;5010;KL;Klausur;20192
164563;AB;161;5010;KL;Klausur;20192
164574;AB;161;5010;KL;Klausur;20192
164654;AB;161;5010;KL;Klausur;20192
164778;AB;161;5010;KL;Klausur;20192
165033;AB;161;5010;KL;Klausur;20192
165157;AB;161;5010;KL;Klausur;20192
165237;AB;161;5010;KL;Klausur;20192
165260;AB;161;5010;KL;Klausur;20192
165340;AB;161;5010;KL;Klausur;20192
165384;AB;161;5010;KL;Klausur;20192
165577;AB;161;5010;KL;Klausur;20192
165704;AB;161;5010;KL;Klausur;20192
165771;AB;161;5010;KL;Klausur;20192
165806;AB;161;5010;KL;Klausur;20192
165817;AB;161;5010;KL;Klausur;20192
165862;AB;161;5010;KL;Klausur;20192
165873;AB;161;5010;KL;Klausur;20192
165895;AB;161;5010;KL;Klausur;20192
165997;AB;161;5010;KL;Klausur;20192
166069;AB;161;5010;KL;Klausur;20192
166081;AB;161;5010;KL;Klausur;20192
166092;AB;161;5010;KL;Klausur;20192
166116;AB;161;5010;KL;Klausur;20192
166149;AB;161;5010;KL;Klausur;20192
166161;AB;161;5010;KL;Klausur;20192
166172;AB;161;5010;KL;Klausur;20192
166207;AB;161;5010;KL;Klausur;20192
166263;AB;161;5010;KL;Klausur;20192
166285;AB;161;5010;KL;Klausur;20192
166296;AB;161;5010;KL;Klausur;20192
166309;AB;161;5010;KL;Klausur;20192
166310;AB;161;5010;KL;Klausur;20192
166321;AB;161;5010;KL;Klausur;20192
166332;AB;161;5010;KL;Klausur;20192
166343;AB;161;5010;KL;Klausur;20192
166365;AB;161;5010;KL;Klausur;20192
166376;AB;161;5010;KL;Klausur;20192
166412;AB;161;5010;KL;Klausur;20192
166434;AB;161;5010;KL;Klausur;20192
166445;AB;161;5010;KL;Klausur;20192
166467;AB;161;5010;KL;Klausur;20192
166478;AB;161;5010;KL;Klausur;20192
166489;AB;161;5010;KL;Klausur;20192
166490;AB;161;5010;KL;Klausur;20192
166503;AB;161;5010;KL;Klausur;20192
166514;AB;161;5010;KL;Klausur;20192
166525;AB;161;5010;KL;Klausur;20192
166536;AB;161;5010;KL;Klausur;20192
166547;AB;161;5010;KL;Klausur;20192
166569;AB;161;5010;KL;Klausur;20192
166581;AB;161;5010;KL;Klausur;20192
166592;AB;161;5010;KL;Klausur;20192
166605;AB;161;5010;KL;Klausur;20192
166616;AB;161;5010;KL;Klausur;20192
166627;AB;161;5010;KL;Klausur;20192
166638;AB;161;5010;KL;Klausur;20192
166649;AB;161;5010;KL;Klausur;20192
166650;AB;161;5010;KL;Klausur;20192
166661;AB;161;5010;KL;Klausur;20192
166683;AB;161;5010;KL;Klausur;20192
166707;AB;161;5010;KL;Klausur;20192
166718;AB;161;5010;KL;Klausur;20192
166730;AB;161;5010;KL;Klausur;20192
166796;AB;161;5010;KL;Klausur;20192
166809;AB;161;5010;KL;Klausur;20192
166821;AB;161;5010;KL;Klausur;20192
166865;AB;161;5010;KL;Klausur;20192
166876;AB;161;5010;KL;Klausur;20192
166898;AB;161;5010;KL;Klausur;20192
810869;AB;161;5010;KL;Klausur;20192
163844;AB;161;6010;KL;Klausur;20192
164052;AB;161;6010;KL;Klausur;20192
164121;AB;161;6010;KL;Klausur;20192
164416;AB;161;6010;KL;Klausur;20192
164461;AB;161;6010;KL;Klausur;20192
164483;AB;161;6010;KL;Klausur;20192
164574;AB;161;6010;KL;Klausur;20192
164698;AB;161;6010;KL;Klausur;20192
164847;AB;161;6010;KL;Klausur;20192
164905;AB;161;6010;KL;Klausur;20192
